country,description,designation,points,price,province,region_1,region_2,variety,winery
US,"Malbec, Merlot and Petit Verdot are included in this wine that's black-purple in color, with a thick density to its dusty black fruit. Cedar, tar and tobacco weave in between blackberry and currant, finishing in a powerful grip of tannin.",Kate's + B's,90,75,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Medlock Ames
US,"This straightforward wine shows an exuberance of toasted oak and grip at first before relaxing into its more mannered self, a twist of cedar and sage giving it a classic sensibility. Cassis and black cherry take on more power on the full-bodied palate, exhibiting the soft approachability of the appellation.",,90,35,California,Alexander Valley,Sonoma,Cabernet Sauvignon,The Calling
US,"Smoke, brawny black pepper and black cherry flavors meet on the palate of this intensely ripe wine. It's grippy and high-octane in power, with a layering of mocha dust.",Osborn Ranch,86,38,California,Alexander Valley,Sonoma,Primitivo,DeLorimier
US,"Complemented with 11% Cabernet Franc, this vineyard designate from winemaker Jesse Katz shines in fragrant plum, raspberry and blackberry flavors. Softly layered and balanced, it teases with dark chocolate and clove hints.",Oliver's Vineyard,93,85,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Aperture
US,"A collaboration between Sonoma County-based winemaker Jesse Katz and Ken Forrester of South Africa, this 100% varietal red is robust and rich. Dark cherry, red currant and integrated oak flavors support its bold body.",A Ken Forrester Wine Farrow Ranch,93,100,California,Alexander Valley,Sonoma,Cabernet Sauvignon,The Bridge
US,"A collaboration between winemaker Nick Goldschmidt and his daughter Chelsea, this 100% Merlot delivers great value. Oaky in plummy black fruit and tobacco, it shows a touch of cedar and clove amidst mountainous tannins. An ideal wine for pepper steak off the grill.",,88,18,California,Alexander Valley,Sonoma,Merlot,Chelsea Goldschmidt
US,"This vineyard-designated estate wine is restrained and elegant, allowing for a sparkle of raspberry and black cherry to speak. The oak is light and integrated, and the minerality well defined, with just the smallest traces of black licorice and pepper coming through on the finish.",Nance's Vineyard,90,39,California,Alexander Valley,Sonoma,Zinfandel,Ousterhout
US,"Tangy and intensely vibrant in citrus, this site-specific white sings in grapefruit pith and zest, layering those flavors atop spicy ginger and herb. It finishes bright and fresh on the palate, eager for food.",Redwood Ranch,90,25,California,Alexander Valley,Sonoma,Sauvignon Blanc,Ousterhout
US,"Palmeri has a good history with Syrah, and this 2011 is right up there. With rich, complex blackberry and blueberry jam, cassis, salted grilled beef, black pepper and smoky oak flavors, it is sophisticated enough to drink with upscale fare. It should age well through 2020.",Van Ness Vineyard,91,43,California,Alexander Valley,Sonoma,Syrah,Palmeri
US,"Quince, lemon peel and honeydew make for compatible bedfellows in this no-oak white, which is light and inviting on the palate, with more underlying herbal flourishes than it first lets on. Dry and daring, it'll pair well with all manner of fresh seafood.",Redwood Ranch,90,25,California,Alexander Valley,Sonoma,Sauvignon Blanc,Ousterhout
